"男演員：
劉松仁、苗僑偉、廖京生、伍衞國、
林　峯、馬德鐘、馮紹峰、吳卓羲
女演員：
佘詩曼、宣　萱、胡杏兒、鄧萃雯、
黃淑儀、梁靖琪、趙　坷、韓馬利",歲月風雲,2007,2,時裝商戰,梁家樹、潘嘉德,"60（香港）
58（中國大陸）"
"元　彪、陳　豪、鄭嘉穎、黎　姿、
蒙嘉慧、邵美琪、魏駿傑、梁家仁、
唐詩詠、王　青",通天幹探,2007,2,時裝警匪,王心慰,37
"歐陽震華、湯盈盈、梁靖琪、黃浩然、
陳國邦、羅敏莊、楊婉儀、陳芷菁",兩妻時代,2007,2,時裝愛情喜劇,黃偉聲,20
"馬國明、陳鍵鋒、官恩娜、李詩韻、
陳國邦、李子雄、陳秀珠、朱慧敏",律政新人王II,2007,2,時裝法律,關永忠,20
每集不同演出,廉政行動2007,2007,3,時裝單元,梁家樹、羅香蘭,5
"森　美、阮小儀、王菀之、鄧麗欣
蔡卓妍、薛凱琪、吳日言、何韻詩
楊思琦、周麗淇、陳嘉容、楊千嬅
尹子維、洪卓立、楊秀惠、方力申
少爺占、Oscar、Donald、張敬軒
陳法拉、孫耀威、陳丹丹、蔣家旻
李綺雯、陳柏宇、裕　美、賈曉晨
張惠雅、張紋嘉、黎美言、應昌佑",森之愛情,2007,4,時裝,霍澤基,10
"鍾嘉欣、陳浩民、陳錦鴻、譚小環、
胡定欣、歐錦棠、惠英紅、劉曉彤",搜神傳,2008,0,古裝動畫特技,李添勝,"22集 (1小時)
40集 (剪輯成半小時及大結局的1個半小時)"
"毛舜筠、金燕玲、何守信、黎耀祥、
吳君麗、歐錦棠、王祖藍、徐　榮、
陳茵媺、鄭欣宜、江欣燕、郭少芸、
蓋鳴暉、陳鴻烈、鄧永健、趙永洪",畢打自己人,2008,0,處境喜劇,曾勵珍、羅鎮岳,337 （每集列表）
"汪明荃、胡杏兒、黃宗澤、許紹雄、
滕麗名、郭政鴻",野蠻奶奶大戰戈師奶,2008,1,時裝喜劇,張乾文,20
"陶大宇、蘇玉華、廖碧兒、秦　沛、
楊天經、滕麗名、惠英紅、駱應鈞",和味濃情,2008,1,時裝愛情,莊偉建,20
"趙文卓、林　峯、胡杏兒、馬國明、
吳美珩、秦　沛、劉兆銘、郭政鴻、
李詩韻、劉　江",太極,2008,1,民初武打,梁家樹、蔡晶盛,25
"馬浚偉、鍾嘉欣、鄭則士、陳法拉、
曹永廉、姚子羚、黃嘉樂、盧宛茵",金石良緣,2008,1,時裝勵志愛情,梁材遠,20
"薛家燕、秦　沛、伍詠薇、伍衞國、
楊思琦、陳秀珠、胡諾言、胡定欣",銀樓金粉,2008,1,民初倫理,唐基明,21
"商天娥、謝天華、林嘉華、滕麗名、
湯盈盈、梁靖琪、蔡子健、李亞男",師奶股神,2008,1,時裝,林志華,21
"徐子珊、馬國明、黎諾懿、
姚嘉妮、姚子羚、黃智賢、
苑瓊丹、于　洋",甜言蜜語,2008,1,時裝,徐遇安,20
"羅嘉良、胡杏兒、呂　方、曾華倩、
黃浩然、廖碧兒、許紹雄、郭　峰",當狗愛上貓,2008,1,時裝溫情,關永忠,20
"歐陽震華、鄧萃雯、許紹雄、郭政鴻、
羅敏莊、梁烈唯、羅仲謙、袁偉豪、
梁証嘉",尖子攻略,2008,1,時裝校園,張乾文,20
"林　峯、吳卓羲、馬國明、陳鍵鋒
林嘉華、徐子珊、李詩韻、陳山聰",少年四大名捕,2008,1,古裝武打,林志華,25
"汪明荃、馬德鐘、佘詩曼、商天娥、
黃浩然、李詩韻、蕭正楠、郭　峰",東山飄雨西關晴,2008,1,民初愛情,關永忠,30
"秦　沛、黎耀祥、孫耀威、郭羨妮、
楊思琦、陳敏之、韓馬利、楊秀惠、
陳智燊、何傲兒、龔茜彤、林漪娸",Click入黃金屋,2008,1,時裝溫情,梅小青,20
"馬浚偉、鄭希怡、黎耀祥、夏　雨
羅冠蘭、李思捷、姚子羚、李成昌
曾偉權、麥長青、李國麟、朱咪咪
戴耀明、李啟傑、伍文生、李力持",秀才愛上兵,2008,2,古裝武俠,劉家豪,20
鄭嘉穎、周麗淇、黃宗澤、唐詩詠,最美麗的第七天,2008,2,時裝愛情,王心慰,20
"郭晉安、郭羨妮、馬國明、曾華倩、
阮小儀、郭政鴻、梁家仁、劉玉翠、
胡定欣",古靈精探,2008,2,時裝查案,張乾文,25
"劉松仁、馬德鐘、陳玉蓮、陳法拉
李思捷、麥長青、李家聲、陳敏之
呂慧儀、陳茵媺",原來愛上賊,2008,2,時裝警匪,莊偉建,20
"歐陽震華、林文龍、鄭嘉穎、佘詩曼、
蒙嘉慧、鍾嘉欣、曹永廉、郭少芸",法證先鋒II,2008,2,時裝查案,梅小青,30
"苗僑偉、袁詠儀、田蕊妮、陳國邦、
曹敏莉、葉翠翠、盧宛茵、林子善",疑情別戀,2008,2,時裝懸疑,黃偉聲,20
"陳　豪、林　峯、黃宗澤、李司棋、
夏　雨、米　雪、關菊英、李香琴、
鍾嘉欣、楊　怡、徐子珊、陳法拉、
黎耀祥、阮兆祥、黎諾懿、楊天經、
溫家恆、周　驄、李成昌[1]",溏心風暴之家好月圓,2008,2,時裝倫理,劉家豪,40
郭晉安、鄭嘉穎、蒙嘉慧、商天娥,與敵同行,2008,2,時裝懸疑,王心慰,22
"黎　姿、蔡少芬、邵美琪、林保怡、
陳　豪、黃宗澤、鍾嘉欣、王　喜、
李司棋、關禮傑、黃德斌、岳　華、
姜大偉、陳鴻烈、陳秀珠、劉　丹",珠光寶氣,2008,2,時裝家族,戚其義,82
"詩雅、洪卓立、陳家樂、
趙碩之、羅仲謙、關婉珊、
林威辰、龔嘉欣、許志安、
Mandy Lieu",盛裝舞步愛作戰,2008,3,時裝偶像,錢國偉,9（香港）／5（大馬）
